name	path	coverage	func_num
_workspace_edu_enter_event_house_lib_media_14_com.robloc_bedwars_5.robux_assist_roblox_mod.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_14_com.robloc_bedwars_5.robux_assist_roblox_mod.apk/	1.315433009	( 437 / 33221 )
_workspace_edu_enter_event_house_lib_media_22_technomobifab.rgb.remote_for_led_lights.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_22_technomobifab.rgb.remote_for_led_lights.apk/	15.25929806	( 2913 / 19090 )
_workspace_edu_enter_event_house_lib_media_28_com.Lunashapps.aksneveshtefetr.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_28_com.Lunashapps.aksneveshtefetr.apk/	3.346613546	( 42 / 1255 )
_workspace_edu_enter_event_house_lib_media_45_com.bigtexapps.android.pressyourluck.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_45_com.bigtexapps.android.pressyourluck.apk/	45.703125	( 234 / 512 )
_workspace_edu_enter_event_house_lib_media_6_com.remotecontrol.tvremote.universal.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_6_com.remotecontrol.tvremote.universal.apk/	12.70981473	( 5255 / 41346 )
_workspace_edu_enter_event_house_lib_media_7_com.nzdeveloper.updatlatestesoftwareandroid.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_7_com.nzdeveloper.updatlatestesoftwareandroid.apk/	1.068080529	( 278 / 26028 )
_workspace_finance_10_com.autostart.apk	/workspace/ella-master/ella-out/_workspace_finance_10_com.autostart.apk/	77.21518987	( 61 / 79 )
_workspace_lifestyle_13_com.rvappstudios.magnifyingglass.apk	/workspace/ella-master/ella-out/_workspace_lifestyle_13_com.rvappstudios.magnifyingglass.apk/	31.15465628	( 4881 / 15667 )
_workspace_lifestyle_14_ru.cherrydesign.ringsizer.apk	/workspace/ella-master/ella-out/_workspace_lifestyle_14_ru.cherrydesign.ringsizer.apk/	35.73964497	( 604 / 1690 )
_workspace_sport_tool_tran_wea_auto1_auto2_12_in.ekadantapps.bikeprice.apk	/workspace/ella-master/ella-out/_workspace_sport_tool_tran_wea_auto1_auto2_12_in.ekadantapps.bikeprice.apk/	44.15263995	( 8053 / 18239 )
_workspace_sport_tool_tran_wea_auto1_auto2_14_com.mbta.mobileapp.apk	/workspace/ella-master/ella-out/_workspace_sport_tool_tran_wea_auto1_auto2_14_com.mbta.mobileapp.apk/	1.55613372	( 317 / 20371 )
_workspace_sport_tool_tran_wea_auto1_auto2_14_com.newparkinggames.carparkinggames.gt.apk	/workspace/ella-master/ella-out/_workspace_sport_tool_tran_wea_auto1_auto2_14_com.newparkinggames.carparkinggames.gt.apk/	3.629804153	( 493 / 13582 )
_workspace_sport_tool_tran_wea_auto1_auto2_14_com.tsportsofficial.cricket.apk	/workspace/ella-master/ella-out/_workspace_sport_tool_tran_wea_auto1_auto2_14_com.tsportsofficial.cricket.apk/	1.544707711	( 487 / 31527 )
